date,R_cong_obs,curtail_payment,replacement,curtailed_MWh,binding_periods
2023-04-01,0.0,0.0,0.0,0.0,0
2023-04-02,0.0,0.0,0.0,0.0,0
2023-04-03,30245.891416666655,7792.970916666664,22452.920500000004,211.31666666666663,9
2023-04-04,2686545.736318208,1010667.4661903932,1675878.2701278178,15841.740567129642,48
2023-04-05,5037914.753531778,2158188.780006943,2879725.9735248396,28741.473611111072,25
2023-04-06,1818664.1628958308,751070.0363333336,1067594.126562501,11801.970833333335,20
2023-04-07,0.0,0.0,0.0,0.0,0
2023-04-08,0.0,0.0,0.0,0.0,0
2023-04-09,9701041.231395928,4713414.681792945,4987626.549602974,64205.614595030784,48
2023-04-10,7442009.165114907,4172055.1804789254,3269953.984635989,54452.936474339964,48
2023-04-11,9732566.94440321,4438127.6735313,5294439.270871862,57436.438028836856,48
2023-04-12,14010738.482656483,6164638.787811887,7846099.694844524,75472.76752025419,48
2023-04-13,387430.1820901564,160300.2949027778,227129.8871873786,2662.9499999999994,15
2023-04-14,21583.181416666666,8471.121249999998,13112.06016666666,115.17500000000001,6
2023-04-15,52918.37478086014,15063.49446440971,37854.88031645044,418.981987847222,48
2023-04-16,568349.5016453627,255744.2374166666,312605.2642286959,3762.431249999999,12
2023-04-17,0.0,0.0,0.0,0.0,0
2023-04-18,40897.49902083334,9443.645083333333,31453.8539375,279.82291666666663,5
2023-04-19,296558.9197916668,114392.27125000008,182166.64854166665,2439.4499999999975,13
2023-04-20,773.2965208333333,296.5655625,476.7309583333333,3.595833333333333,3
2023-04-21,1778492.3487847238,767878.8774861102,1010613.471298611,10800.318749999999,19
2023-04-22,4522.696208333334,784.9487083333335,3737.7475000000004,38.17916666666667,2
2023-04-23,2962279.489177324,1220520.01618287,1741759.4729944672,18178.024537037134,48
2023-04-24,1852017.4538152418,761427.5297569418,1090589.924058302,12320.399999999996,40
2023-04-25,44836.11956249996,25393.151416666675,19442.968145833336,219.67083333333332,11
2023-04-26,0.0,0.0,0.0,0.0,0
2023-04-27,126541.95374999999,55658.94116666667,70883.01258333334,839.2666666666668,12
2023-04-28,37080.728767774985,14857.523687499996,22223.205080274984,189.16041666666666,26
2023-04-29,3590.640454736382,1651.1535833333332,1939.4868714030497,20.179166666666664,5
2023-04-30,0.0,0.0,0.0,0.0,0
2023-05-01,0.0,0.0,0.0,0.0,0
2023-05-02,0.0,0.0,0.0,0.0,0
2023-05-03,0.0,0.0,0.0,0.0,0
2023-05-04,6762158.960133105,3339544.6031882446,3422614.356944838,45521.6783620224,48
2023-05-05,2834015.3964517387,1288115.9059444454,1545899.490507295,19410.086111111115,47
2023-05-06,9723.9005,3511.6133333333337,6212.287166666666,61.68333333333334,4
2023-05-07,104956.2353649739,47081.24859097961,57874.98677399432,690.595807476359,48
2023-05-08,1381121.913222546,623729.6960833336,757392.2171392118,9606.122222222217,22
2023-05-09,0.0,0.0,0.0,0.0,0
2023-05-10,0.0,0.0,0.0,0.0,0
2023-05-11,0.0,0.0,0.0,0.0,0
2023-05-12,0.0,0.0,0.0,0.0,0
2023-05-13,0.0,0.0,0.0,0.0,0
2023-05-14,2452.8708333333334,1266.7666666666669,1186.1041666666663,14.233333333333336,11
2023-05-15,0.0,0.0,0.0,0.0,0
2023-05-16,334324.79020833346,136445.64275,197879.1474583335,2361.3833333333328,13
2023-05-17,128478.81369695617,47320.19707882681,81158.61661812942,964.3851654846336,29
2023-05-18,39103.365153283085,18489.737604166665,20613.627549116416,310.8729166666668,21
2023-05-19,0.0,0.0,0.0,0.0,0
2023-05-20,632.0083333333334,377.5083333333333,254.5,4.241666666666667,8
2023-05-21,0.0,0.0,0.0,0.0,0
2023-05-22,91062.47062500003,35440.316208333345,55622.15441666666,656.8375000000001,7
2023-05-23,311400.0127315726,138194.8386325356,173205.1740990376,2370.765205747636,48
2023-05-24,1063649.0736661672,542785.0048263893,520864.0688397784,8503.352777777769,27
2023-05-25,0.0,0.0,0.0,0.0,0
2023-05-26,0.0,0.0,0.0,0.0,0
2023-05-27,1683428.3454513908,894319.2802013883,789109.0652500002,11855.489583333325,29
2023-05-28,0.0,0.0,0.0,0.0,0
2023-05-29,0.0,0.0,0.0,0.0,0
2023-05-30,0.0,0.0,0.0,0.0,0
2023-05-31,0.0,0.0,0.0,0.0,0
2023-06-01,0.0,0.0,0.0,0.0,0
2023-06-02,0.0,0.0,0.0,0.0,0
2023-06-03,0.0,0.0,0.0,0.0,0
2023-06-04,0.0,0.0,0.0,0.0,0
2023-06-05,0.0,0.0,0.0,0.0,0
2023-06-06,0.0,0.0,0.0,0.0,0
2023-06-07,0.0,0.0,0.0,0.0,0
2023-06-08,7648.9041069701525,2971.3319687499966,4677.572138220147,61.01866319444451,48
2023-06-09,8177.202013535895,3230.007694444444,4947.194319091451,73.63888888888889,2
2023-06-10,312873.4146452299,112030.43232387699,200842.98232135264,1841.5996158392454,48
2023-06-11,61445.955846027595,27105.758909722215,34340.196936305365,369.34652777777774,4
2023-06-12,0.0,0.0,0.0,0.0,0
2023-06-13,0.0,0.0,0.0,0.0,0
2023-06-14,0.0,0.0,0.0,0.0,0
2023-06-15,0.0,0.0,0.0,0.0,0
2023-06-16,0.0,0.0,0.0,0.0,0
2023-06-17,0.0,0.0,0.0,0.0,0
2023-06-18,0.0,0.0,0.0,0.0,0
2023-06-19,139578.10412499998,60042.93056944442,79535.17355555556,993.4805555555553,14
2023-06-20,0.0,0.0,0.0,0.0,0
2023-06-21,36415.780916666656,13305.70445833333,23110.076458333337,286.58333333333337,5
2023-06-22,0.0,0.0,0.0,0.0,0
2023-06-23,140543.89185416672,39991.580090277756,100552.31176388892,1074.075,11
2023-06-24,0.0,0.0,0.0,0.0,0
2023-06-25,1019186.4613749983,544246.6452916663,474939.81608333346,7795.808333333335,26
2023-06-26,53232.30216666668,24378.804708333333,28853.497458333335,348.3333333333333,4
2023-06-27,156144.72979861114,64974.92672916667,91169.80306944443,885.86875,9
2023-06-28,193939.3751783042,66594.70052083333,127344.6746574708,1024.5338541666667,48
2023-06-29,430892.83018525405,179782.7361901844,251110.0939950694,2784.8781219217854,48
2023-06-30,106339.18263888889,49399.36126388888,56939.821374999985,826.3777777777774,9
2023-07-01,10871714.279592976,6328368.794146839,4543345.48544622,75722.42475743717,48
2023-07-02,8768784.210061274,4926921.2808616,3841862.929199656,59801.55424977824,48
2023-07-03,7844798.897643078,4168776.6264360133,3676022.2712070313,55091.485298463296,48
2023-07-04,502763.9433810389,267581.3606249996,235182.5827560393,3872.69236111111,12
2023-07-05,0.0,0.0,0.0,0.0,0
2023-07-06,2754722.1593714943,1298987.8426840296,1455734.3166874785,18175.90179398148,48
2023-07-07,11430191.385387428,6810395.465608098,4619795.9197792495,66530.07303610118,48
2023-07-08,3032365.8505680747,1695045.9433055574,1337319.907262525,17188.977777777774,34
2023-07-09,0.0,0.0,0.0,0.0,0
2023-07-10,0.0,0.0,0.0,0.0,0
2023-07-11,0.0,0.0,0.0,0.0,0
2023-07-12,0.0,0.0,0.0,0.0,0
2023-07-13,0.0,0.0,0.0,0.0,0
2023-07-14,2123173.833393583,1158802.0185677065,964371.8148258701,15462.236373374713,48
2023-07-15,1991289.4148402808,1306483.4148402805,684806.0000000005,11413.43333333334,15
2023-07-16,1019965.3018480884,494058.7649618056,525906.5368862848,7130.025868055559,48
2023-07-17,3781.4036745859466,1700.3775416666665,2081.0261329192795,33.53194444444444,2
2023-07-18,0.0,0.0,0.0,0.0,0
2023-07-19,0.0,0.0,0.0,0.0,0
2023-07-20,0.0,0.0,0.0,0.0,0
2023-07-21,0.0,0.0,0.0,0.0,0
2023-07-22,0.0,0.0,0.0,0.0,0
2023-07-23,124122.60089583334,61319.725895833355,62802.875,1046.714583333333,9
2023-07-24,0.0,0.0,0.0,0.0,0
2023-07-25,0.0,0.0,0.0,0.0,0
2023-07-26,0.0,0.0,0.0,0.0,0
2023-07-27,0.0,0.0,0.0,0.0,0
2023-07-28,0.0,0.0,0.0,0.0,0
2023-07-29,0.0,0.0,0.0,0.0,0
2023-07-30,0.0,0.0,0.0,0.0,0
2023-07-31,0.0,0.0,0.0,0.0,0
2023-08-01,0.0,0.0,0.0,0.0,0
2023-08-02,0.0,0.0,0.0,0.0,0
2023-08-03,8684.91675,4373.333333333333,4311.583416666666,43.733333333333334,4
2023-08-04,31705.21304166667,14351.937208333335,17353.27583333333,247.92708333333334,9
2023-08-05,0.0,0.0,0.0,0.0,0
2023-08-06,0.0,0.0,0.0,0.0,0
2023-08-07,10437.7332836315,5627.769062500001,4809.9642211314995,79.77083333333333,4
2023-08-08,96705.32885416664,37296.47412499998,59408.854729166684,819.9458333333332,13
2023-08-09,107200.70414583769,52715.40635416664,54485.297791671095,845.8812500000003,16
2023-08-10,0.0,0.0,0.0,0.0,0
2023-08-11,1156994.8563215688,507621.0504730785,649373.8058484913,7391.638851334714,48
2023-08-12,8819901.845204633,4441167.593320725,4378734.251883859,55180.20765920507,48
