date,R_cong_obs,curtail_payment,replacement,curtailed_MWh,binding_periods
2022-04-01,0.0,0.0,0.0,0.0,0
2022-04-02,0.0,0.0,0.0,0.0,0
2022-04-03,4414332.452750986,1013829.1285005773,3400503.3242504084,16713.458130787036,48
2022-04-04,7686376.3164656395,2557432.4940972207,5128943.822368409,38792.13518518515,35
2022-04-05,3502407.2155305794,901968.907976273,2600438.307554307,14864.67766203705,48
2022-04-06,4524250.08307953,1174797.550300926,3349452.532778601,18292.433275462976,48
2022-04-07,6817668.963586392,1646754.0363871537,5170914.927199236,27078.793460648158,48
2022-04-08,5068249.608686688,1200413.0789036641,3867836.529783028,19016.419717789577,48
2022-04-09,2288638.6735122604,543134.7660000004,1745503.907512262,8523.77222222222,32
2022-04-10,0.0,0.0,0.0,0.0,0
2022-04-11,5112151.874931177,1268219.873517364,3843932.0014138045,22013.51909722216,48
2022-04-12,1010162.3804472832,242480.91668055556,767681.4637667293,4245.186111111115,27
2022-04-13,177245.03558333335,43179.327000000005,134065.70858333335,677.6416666666667,11
2022-04-14,0.0,0.0,0.0,0.0,0
2022-04-15,0.0,0.0,0.0,0.0,0
2022-04-16,24178.72990277778,7397.874958333331,16780.85494444444,193.66249999999997,16
2022-04-17,130935.16670833336,46442.54283333332,84492.623875,889.9020833333337,6
2022-04-18,513363.557757892,118790.86352777774,394572.69423011463,2200.4042824074077,48
2022-04-19,2758.514375205416,172.86083333333335,2585.6535418720828,19.20416666666667,3
2022-04-20,32558.182333333338,7341.254999999998,25216.927333333333,129.75,4
2022-04-21,0.0,0.0,0.0,0.0,0
2022-04-22,0.0,0.0,0.0,0.0,0
2022-04-23,10626.339416666666,1878.9974999999997,8747.341916666664,58.341666666666676,2
2022-04-24,0.0,0.0,0.0,0.0,0
2022-04-25,0.0,0.0,0.0,0.0,0
2022-04-26,0.0,0.0,0.0,0.0,0
2022-04-27,0.0,0.0,0.0,0.0,0
2022-04-28,0.0,0.0,0.0,0.0,0
2022-04-29,0.0,0.0,0.0,0.0,0
2022-04-30,2490.987583333334,1272.8749999999998,1218.1125833333333,14.974999999999998,11
2022-05-01,0.0,0.0,0.0,0.0,0
2022-05-02,0.0,0.0,0.0,0.0,0
2022-05-03,0.0,0.0,0.0,0.0,0
2022-05-04,247326.29438195008,82196.70534707444,165129.58903487562,1080.9408761820334,48
2022-05-05,864830.7010344496,295249.9962189708,569580.7048154769,4032.6056515957202,47
2022-05-06,876954.7389089307,344675.4680937501,532279.2708151817,4651.159635416673,48
2022-05-07,76490.13633652263,23415.29105555555,53074.84528096708,319.08958333333334,5
2022-05-08,56688.73773286739,12092.474621527783,44596.263111339584,318.645486111111,48
2022-05-09,3403695.738342203,1619799.2005823306,1783896.5377598675,22535.67033281618,48
2022-05-10,2936137.0803878447,1478554.8163753499,1457582.2640124941,22663.39854893129,48
2022-05-11,3789522.9291234887,2004243.0699557452,1785279.8591677381,29086.270153664278,48
2022-05-12,2732604.689673479,1241354.5641051056,1491250.1255683745,18925.645274330232,48
2022-05-13,3787907.3445024244,1873415.7509675913,1914491.593534849,28321.992129629594,42
2022-05-14,0.0,0.0,0.0,0.0,0
2022-05-15,0.0,0.0,0.0,0.0,0
2022-05-16,213549.02529166674,54019.74329166661,159529.28200000004,1567.8229166666665,21
2022-05-17,605731.0838698976,217080.27394965288,388650.8099202446,3677.5284722222223,48
2022-05-18,2617297.9487679014,1162676.068710184,1454621.880057714,18247.20697337962,48
2022-05-19,849761.6381939863,385525.74463480135,464235.8935591862,6066.452240937754,48
2022-05-20,12868.710249999996,6108.194444444443,6760.515805555558,71.86111111111111,30
2022-05-21,97658.52113194446,29727.242402777785,67931.27872916665,579.5798611111113,18
2022-05-22,20256.772888888896,6959.354583333334,13297.418305555555,130.63749999999996,12
2022-05-23,0.0,0.0,0.0,0.0,0
2022-05-24,0.0,0.0,0.0,0.0,0
2022-05-25,1983449.8657013872,703052.0418541654,1280397.8238472214,11844.793055555565,41
2022-05-26,3398549.7085355073,1293637.5094903023,2104912.199045216,21523.059946315963,48
